Task,LDA_acc,Logistic_acc,SVM_acc,SelectedFeatures
pca1,0.687489975942261,0.694413258487036,0.689788826516974,"O2_peak_beta_narrow, T8_CO_trev_1_num, C3_DN_HistogramMode_10, P4_TCdelta, C4_PAC_DT, O1_CO_Embed2_Dist_tau_d_expfit_meandiff, C3_CO_HistogramAMI_even_2_5, O2_CO_HistogramAMI_even_2_5, Pz_CO_trev_1_num, Cz_CO_f1ecac"
om,0.798716920609463,0.794092488639401,0.810344827586207,"F4_peak_gamma, O1_peak_gamma, O1_TBR, C3_TCdelta, F3_CO_Embed2_Dist_tau_d_expfit_meandiff, F3_peak_beta_narrow, T8_PAC_DT, C3_DN_HistogramMode_10, C4_MD_hrv_classic_pnn40"
omd,0.733787757284149,0.715263298583267,0.731435445068164,"Fz_CO_trev_1_num, C3_PAC_DT, F4_peak_beta_narrow, Fz_DN_HistogramMode_5, O1_peak_beta_narrow, O1_TBR, F3_PAC_DT, F3_CO_HistogramAMI_even_2_5, C3_CO_trev_1_num, F3_IN_AutoMutualInfoStats_40_gaussian_fmmi"
wm,0.812371838687628,0.830622009569378,0.835816814764183,"Fz_TBR, Fz_peak_gamma, F4_ABR, O1_SB_BinaryStats_mean_longstretch1, O2_peak_beta, F3_peak_beta_narrow, T8_peak_gamma, O1_PAC_DT, F4_TBR, Fz_PAC_DB"
wmd,0.794556628621598,0.764969271290606,0.773748902546093,"P3_MD_hrv_classic_pnn40, Pz_PD_PeriodicityWang_th0_01, P3_PAC_DB, P3_TBR, T7_peak_gamma, O1_peak_gamma, P4_CO_FirstMin_ac, Fz_TBR, P4_SB_BinaryStats_diff_longstretch0"
fnat,0.755263157894737,0.760526315789474,0.76308954203691,"C3_PAC_DA, F4_TBR, T7_TCdelta, F3_PAC_DT, O2_peak_beta, T8_CO_trev_1_num, Oz_TCdelta, Cz_PAC_DA, T8_peak_beta, C4_PAC_DA"
fnatd,0.923593466424682,0.937568058076225,0.941016333938294,"C4_TBR, T8_PAC_DT, T8_TCdelta, P4_TCdelta, Fz_peak_gamma, T8_TBR, Pz_peak_beta, Fz_DN_HistogramMode_5, Fz_DN_HistogramMode_10, Fz_CO_trev_1_num"
mst,0.729136594493451,0.724512162523389,0.722159850307404,"T8_CO_Embed2_Dist_tau_d_expfit_meandiff, O1_TR, Fz_DN_HistogramMode_5, Fz_DN_HistogramMode_10, Fz_PD_PeriodicityWang_th0_01, Fz_IN_AutoMutualInfoStats_40_gaussian_fmmi, Fz_DN_OutlierInclude_p_001_mdrmd, Fz_DN_OutlierInclude_n_001_mdrmd, Fz_SP_Summaries_welch_rect_area_5_1, Fz_SB_BinaryStats_diff_longstretch0"
composite_om,0.75,0.7625,0.775,"F3_PAC_DA, O1_peak_gamma, O1_TBR, Fz_CO_HistogramAMI_even_2_5, F3_CO_Embed2_Dist_tau_d_expfit_meandiff, C3_TCdelta, Oz_PAC_DT, Oz_ABR, F4_CO_trev_1_num, T8_TransR"
composite_wm,0.812371838687628,0.830622009569378,0.835816814764183,"Fz_TBR, Fz_peak_gamma, F4_ABR, O1_SB_BinaryStats_mean_longstretch1, O2_peak_beta, F3_peak_beta_narrow, T8_peak_gamma, O1_PAC_DT, F4_TBR, Fz_PAC_DB"
composite_fnat,0.815174299384826,0.856835269993165,0.859398496240601,"C3_PAC_DA, F4_TBR, C3_TCdelta, F3_PAC_DT, C4_ABR, O2_peak_beta, T7_TCdelta, P3_TCdelta, O1_PAC_DA, T8_CO_trev_1_num"
composite_immediate,0.708473670141673,0.703822507350976,0.706094627105052,"Pz_TCdelta, F4_PAC_DT, O2_peak_beta, O1_CO_trev_1_num, C3_TCdelta, P3_peak_theta, O1_SB_TransitionMatrix_3ac_sumdiagcov, P3_IN_AutoMutualInfoStats_40_gaussian_fmmi"
composite_delayed,0.749931647300068,0.744736842105263,0.760321257689679,"C4_PAC_DT, Pz_peak_beta_narrow, F4_peak_beta, Pz_TBR, Fz_DN_HistogramMode_5, Fz_DN_HistogramMode_10, Fz_PD_PeriodicityWang_th0_01, Fz_IN_AutoMutualInfoStats_40_gaussian_fmmi, Fz_DN_OutlierInclude_p_001_mdrmd, Fz_DN_OutlierInclude_n_001_mdrmd"
